"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","W_Corr","P_Corr","Iterations"
"../Scripts/DATA-R-P-Sparse",10,100,0,0.8,1,2,0.164524076786135,0.835475895637732,0.95,13.0693283734201,13.0693339125957,0.973568225802495,0.973565573157379,102
"../Scripts/DATA-R-P-Sparse",10,100,0,1,19,2,1.68312734535358e-06,0.99999831307691,0.95,11.3006126212699,11.3006126377077,0.993003076079626,0.993003075792163,102
"../Scripts/DATA-R-P-Sparse",10,100,0.5,0.8,7,2,0.152869945111137,0.847131590282396,1,10.6035953248535,10.6035930505986,0.997306736068182,0.997306525169677,17
"../Scripts/DATA-R-P-Sparse",10,100,0.5,1,25,2,0.00738048762447613,0.992619567736807,0.9,10.8047363420602,10.8047405280091,0.978122395877542,0.978120355773762,30
"../Scripts/DATA-R-P-Sparse",10,100,0.8,0.8,13,2,0.534781888302329,0.465221067269934,0.8,8.05067750395229,8.05067600389251,NA,NA,15
"../Scripts/DATA-R-P-Sparse",10,100,0.8,1,31,2,9.5066916225071e-32,1,1,8.08879925906603,8.08879925906603,1,1,102
"../Scripts/DATA-R-P-Sparse",10,500,0,0.8,4,2,0.159721335628419,0.840278661146136,0.95,58.3446297894415,58.3446311625011,0.999186188581758,0.999185824758789,64
"../Scripts/DATA-R-P-Sparse",10,500,0,1,22,2,1.42543097613382e-12,0.999999999998121,0.95,53.779944660092,53.779944624975,0.989131224693786,0.989131230327084,102
"../Scripts/DATA-R-P-Sparse",10,500,0.5,0.8,10,2,0.227928539195348,0.772073022453346,0.6,49.4118728432405,49.4117357761284,0.728154082854922,0.728186821965454,22
"../Scripts/DATA-R-P-Sparse",10,500,0.5,1,28,2,0.000524016810120414,0.999475991168928,1,46.2613176347793,46.2613176108796,0.999649398679092,0.999649401663276,39
"../Scripts/DATA-R-P-Sparse",10,500,0.8,0.8,16,2,0.157605948999538,0.842394617846334,1,31.4049121327794,31.4049134516379,0.999979587700761,0.999979578018814,16
"../Scripts/DATA-R-P-Sparse",10,500,0.8,1,34,2,5.4975694354578e-31,1,1,24.8470861634353,24.8470861634353,1,1,102
"../Scripts/DATA-R-P-Sparse",100,100,0,0.8,2,2,0.192540866723341,0.807459126113626,0.995,3.26385318317984,3.26385318294218,0.994162871101667,0.994162871098986,102
"../Scripts/DATA-R-P-Sparse",100,100,0,1,20,2,5.46974899023314e-08,0.99999994419066,0.995,3.32497018774797,3.32497018811806,0.999997655467258,0.999997654517229,102
"../Scripts/DATA-R-P-Sparse",100,100,0.5,0.8,8,2,0.194302797702397,0.805697344885195,1,3.05141044678337,3.05141042438556,0.998336059395373,0.99833608475794,44
"../Scripts/DATA-R-P-Sparse",100,100,0.5,1,26,2,0.000847190358634369,0.999152827384309,1,3.04638213315225,3.04638212986513,0.999386893133149,0.999386896616941,38
"../Scripts/DATA-R-P-Sparse",100,100,0.8,0.8,14,2,0.195603714112892,0.804397028369373,1,2.0149023638063,2.01490236528475,0.999273802925655,0.999273579528957,21
"../Scripts/DATA-R-P-Sparse",100,100,0.8,1,32,2,0.00094240638136422,0.999057699443651,1,2.15795442851958,2.15795441750649,0.999491499996644,0.999491506186803,36
"../Scripts/DATA-R-P-Sparse",100,500,0,0.8,5,2,0.19541804065748,0.804581969706279,0.995,9.29994599966036,9.29993817994347,0.998739495133255,0.998739511978619,10
"../Scripts/DATA-R-P-Sparse",100,500,0,1,23,2,6.85275637824906e-10,0.999999999230008,0.995,9.45927063014128,9.45927063070133,0.999996350335207,0.99999634941533,102
"../Scripts/DATA-R-P-Sparse",100,500,0.5,0.8,11,2,0.196051723681869,0.803948232452192,1,8.63817329221243,8.63817325433438,0.999516968957466,0.999517034547028,25
"../Scripts/DATA-R-P-Sparse",100,500,0.5,1,29,2,8.6638302443928e-05,0.999913361365935,1,8.79309860778719,8.7930986075202,0.999927198391332,0.999927198626157,41
"../Scripts/DATA-R-P-Sparse",100,500,0.8,0.8,17,2,0.406097496072389,0.593932249169465,0.83,6.66357149296267,6.66361328098753,0.607164746698751,0.607074879005821,15
"../Scripts/DATA-R-P-Sparse",100,500,0.8,1,35,2,0.00013926221016283,0.999860753477507,1,5.77320598715709,5.77320598876581,0.999949404868343,0.999949407208054,25
"../Scripts/DATA-R-P-Sparse",1000,100,0,0.8,3,2,0.195527698472482,0.804472301523402,0.9995,1.60786346059363,1.60786300472329,0.985253247868187,0.9852532417371,9
"../Scripts/DATA-R-P-Sparse",1000,100,0,1,21,2,1.15906034720109e-12,0.999999999998841,0.9995,1.60043543648392,1.60043543648392,0.999994882283738,0.999994882283738,102
"../Scripts/DATA-R-P-Sparse",1000,100,0.5,0.8,9,2,0.197412233275746,0.802587876399693,1,1.47841318813346,1.47841319269577,0.998616474572602,0.998616390101801,33
"../Scripts/DATA-R-P-Sparse",1000,100,0.5,1,27,2,5.32791950396039e-06,0.999994672080934,1,1.51700669623561,1.51700669623282,0.999995588510779,0.99999558853166,37
"../Scripts/DATA-R-P-Sparse",1000,100,0.8,0.8,15,2,0.198310324735238,0.801690018881274,1,1.03320732226595,1.03320731705692,0.999402832592431,0.999402805215678,24
"../Scripts/DATA-R-P-Sparse",1000,100,0.8,1,33,2,0.0004403800991015,0.999559629582646,1,1.0221304038514,1.02213040371178,0.999841706563337,0.999841706052964,41
